district,NAME_2,year,mean
GirSomnath,GirSomnath,2022.0,0.44245341044151315
Jamnagar,Jamnagar,2022.0,0.32476124159865455
Junagadh,Junagadh,2022.0,0.4010811332818659
Kachchh,Kachchh,2022.0,0.13692156227676347
Kheda,Kheda,2022.0,0.4594854556684575
Mahesana,Mahesana,2022.0,0.4467156960572153
Mahisagar,Mahisagar,2022.0,0.41374273072479306
Morbi,Morbi,2022.0,0.32472923764380357
Narmada,Narmada,2022.0,0.4184957544162218
Navsari,Navsari,2022.0,0.48176345033211376
PanchMahals,PanchMahals,2022.0,0.4564654532634663
Patan,Patan,2022.0,0.3601461639485373
Porbandar,Porbandar,2022.0,0.34746629392762973
Rajkot,Rajkot,2022.0,0.35609059390463127
SabarKantha,SabarKantha,2022.0,0.4651771850115355
Surat,Surat,2022.0,0.4204280018786333
Surendranagar,Surendranagar,2022.0,0.3368874428909661
Tapi,Tapi,2022.0,0.3699288709402804
TheDangs,TheDangs,2022.0,0.4916242978888145
Vadodara,Vadodara,2022.0,0.5000728012254838
Valsad,Valsad,2022.0,0.4547693148814685
Ahmadabad,Ahmadabad,2023.0,0.3368646082106612
Amreli,Amreli,2023.0,0.33733952773669285
Anand,Anand,2023.0,0.4464817240836089
Aravalli,Aravalli,2023.0,0.44579345776563706
BanasKantha,BanasKantha,2023.0,0.42051615893498206
Bharuch,Bharuch,2023.0,0.3511966335428451
Bhavnagar,Bhavnagar,2023.0,0.29654749551053017
Botad,Botad,2023.0,0.3813862723898146
ChhotaUdaipur,ChhotaUdaipur,2023.0,0.45310502254531004
Dahod,Dahod,2023.0,0.3990988098525274
DevbhumiDwarka,DevbhumiDwarka,2023.0,0.2623230462909027
Gandhinagar,Gandhinagar,2023.0,0.43818314008046666
GirSomnath,GirSomnath,2023.0,0.433553145804377
Jamnagar,Jamnagar,2023.0,0.3158673422130268
Junagadh,Junagadh,2023.0,0.3891997918944241
Kachchh,Kachchh,2023.0,0.1263834766093205
Kheda,Kheda,2023.0,0.4645661214983767
Mahesana,Mahesana,2023.0,0.450462656784811
Mahisagar,Mahisagar,2023.0,0.42325511222934675
Morbi,Morbi,2023.0,0.35324667129360304
Narmada,Narmada,2023.0,0.37292316947395227
Navsari,Navsari,2023.0,0.4754477998441587
PanchMahals,PanchMahals,2023.0,0.4394281168525891
Patan,Patan,2023.0,0.3700404150169412
Porbandar,Porbandar,2023.0,0.3321817046668876
Rajkot,Rajkot,2023.0,0.3546759433966376
SabarKantha,SabarKantha,2023.0,0.4526647233862688
Surat,Surat,2023.0,0.4212492410967418
Surendranagar,Surendranagar,2023.0,0.3306195574000131
Tapi,Tapi,2023.0,0.3749006023436693
TheDangs,TheDangs,2023.0,0.45878971985473715
Vadodara,Vadodara,2023.0,0.47075771142405987
Valsad,Valsad,2023.0,0.43416191660242476
Ahmadabad,Ahmadabad,2024.0,0.3333937545254352
Amreli,Amreli,2024.0,0.3401548432882884
Anand,Anand,2024.0,0.43278514737025364
Aravalli,Aravalli,2024.0,0.443774992930796
BanasKantha,BanasKantha,2024.0,0.41613097480514344
Bharuch,Bharuch,2024.0,0.38899213094664736
Bhavnagar,Bhavnagar,2024.0,0.3366978785752682
Botad,Botad,2024.0,0.41677326943177545
ChhotaUdaipur,ChhotaUdaipur,2024.0,0.48845691679049025
Dahod,Dahod,2024.0,0.4250756285566197
DevbhumiDwarka,DevbhumiDwarka,2024.0,0.23230699173559566
Gandhinagar,Gandhinagar,2024.0,0.4241572496440994
GirSomnath,GirSomnath,2024.0,0.4263993496156708
Jamnagar,Jamnagar,2024.0,0.28929337019096296
Junagadh,Junagadh,2024.0,0.3807714355123423
Kachchh,Kachchh,2024.0,0.12809985717911254
Kheda,Kheda,2024.0,0.44501780105563515
Mahesana,Mahesana,2024.0,0.4375010114687522
Mahisagar,Mahisagar,2024.0,0.4338702656171331
Morbi,Morbi,2024.0,0.3192714774649153
Narmada,Narmada,2024.0,0.44021567579135207
Navsari,Navsari,2024.0,0.4797930159689696
PanchMahals,PanchMahals,2024.0,0.4603005455096393
Patan,Patan,2024.0,0.3563227115822693
Porbandar,Porbandar,2024.0,0.29161826925686446
Rajkot,Rajkot,2024.0,0.320017050407149
SabarKantha,SabarKantha,2024.0,0.4516287342732603
Surat,Surat,2024.0,0.44175499426127873
Surendranagar,Surendranagar,2024.0,0.33533229519977936
Tapi,Tapi,2024.0,0.3882837623535651
TheDangs,TheDangs,2024.0,0.457728106964339
Vadodara,Vadodara,2024.0,0.4813290706051394
Valsad,Valsad,2024.0,0.42522557218794615
Ahmadabad,Ahmadabad,2025.0,0.3742490850656831
Amreli,Amreli,2025.0,0.3835450309488528
Anand,Anand,2025.0,0.46193208173950506
Aravalli,Aravalli,2025.0,0.46773911512795924
BanasKantha,BanasKantha,2025.0,0.4153811619550879
Bharuch,Bharuch,2025.0,0.4050671564264453
Bhavnagar,Bhavnagar,2025.0,0.3495423207278386
Botad,Botad,2025.0,0.4262443851976513
ChhotaUdaipur,ChhotaUdaipur,2025.0,0.4924862277614065
Dahod,Dahod,2025.0,0.4318810492555544
DevbhumiDwarka,DevbhumiDwarka,2025.0,0.29136962679056166
Gandhinagar,Gandhinagar,2025.0,0.45918102204587025
GirSomnath,GirSomnath,2025.0,0.46365619122034385
Jamnagar,Jamnagar,2025.0,0.3307470060456185
Junagadh,Junagadh,2025.0,0.443018473981916
Kachchh,Kachchh,2025.0,0.13568502357590365
Kheda,Kheda,2025.0,0.4825681788349004
Mahesana,Mahesana,2025.0,0.4663572973097374
Mahisagar,Mahisagar,2025.0,0.44096190966768345
Morbi,Morbi,2025.0,0.3543764546043429
Narmada,Narmada,2025.0,0.42545990475921924
Navsari,Navsari,2025.0,0.4814707801627785
